id;code;name;previous_codes
1;130;Колективне підприємство;150
2;150;Комунальне підприємство;170
3;170;Іноземне підприємство;190
4;190;Орендне підприємство;230
5;110;Фермерське господарство;
6;120;Приватне підприємство;
7;130;Колективне підприємство*;
8;140;Державне підприємство;
9;145;Казенне підприємство;
10;150;Комунальне підприємство;
11;160;Дочірнє підприємство;
12;170;Іноземне підприємство;
13;180;Підприємство об’єднання громадян (релігійної організації, профспілки);
14;185;Підприємство споживчої кооперації;
15;190;Орендне підприємство*;
16;191;Індивідуальне підприємство*;
17;192;Сімейне підприємство*;
18;193;Спільне підприємство*;
19;200;Господарські товариства;
20;230;Акціонерне товариство;
21;231;Відкрите акціонерне товариство*);
22;232;Закрите акціонерне товариство*);
23;235;Державна акціонерна компанія (товариство);
24;240;Товариство з обмеженою відповідальністю;
25;250;Товариство з додатковою відповідальністю;
26;260;Повне товариство;
27;270;Командитне товариство;
28;280;Адвокатське об’єднання;
29;281;Адвокатське бюро;
30;300;Кооперативи;
31;310;Виробничий кооператив;
32;320;Обслуговуючий кооператив;
33;321;Житлово-будівельний кооператив**);
34;322;Гаражний кооператив**);
35;330;Споживчий кооператив;
36;340;Сільськогосподарський виробничий кооператив;
37;350;Сільськогосподарський обслуговуючий кооператив;
38;390;Кооперативний банк;
39;400;Організації (установи, заклади);
40;410;Орган державної влади;
41;415;Судова система;
42;420;Орган місцевого самоврядування;
43;425;Державна організація (установа, заклад);
44;430;Комунальна організація (установа, заклад);
45;435;Приватна організація (установа, заклад);
46;440;Організація (установа, заклад) об’єднання громадян (релігійної організації, профспілки, споживчої кооперації тощо);
47;490;Організація орендарів*;
48;495;Організація покупців*;
49;500;Об’єднання підприємств (юридичних осіб);
50;510;Асоціація;
51;520;Корпорація;
52;530;Консорціум;
53;540;Концерн;
54;550;Холдингова компанія;
55;590;Інші об’єднання юридичних осіб;
56;600;Відокремлені підрозділи без статусу юридичної особи;
57;610;Філія (інший відокремлений підрозділ);
58;620;Представництво;
59;700;Непідприємницькі підприємства;
60;710;Органи адвокатського самоврядування;
61;711;Органи суддівського самоврядування;
62;712;Вища кваліфікаційна комісія суддів України;
63;800;Громадські об’єднання, профспілки, благодійні організації та інші подібні організація;
64;810;Політична партія;
65;815;Громадська організація;
66;820;Громадська спілка;
67;825;Релігійна організація;
68;830;Профспілка;
69;835;Об’єднання профспілок;
70;840;Творча спілка (інша професійна організація);
71;845;Благодійна організація;
72;850;Організація роботодавців;
73;855;Об’єднання співвласників багатоквартирного будинку;
74;860;Орган самоорганізації населення;
75;900;Інші організаційно-правові форми;
76;910;Підприємець – фізична особа;
77;915;Товарна біржа;
78;920;Фондова біржа;
79;925;Кредитна спілка;
80;930;Споживче товариство;
81;935;Спілка споживчих товариств;
82;940;Недержавний пенсійний фонд;
83;950;Садівниче товариство**);
84;995;Інші організаційно-правові форми;
