group_code;privilege_code
GR_V1_LEGAL_ENTITY;V1_1_1
GR_V1_LEGAL_ENTITY;V1_1_2
GR_V1_LEGAL_ENTITY;V1_2_1
GR_V1_LEGAL_ENTITY;V1_2_2
GR_V1_LEGAL_ENTITY;V1_2_3
GR_V1_LEGAL_ENTITY;V1_2_4
GR_V1_LEGAL_ENTITY;V1_2_5
GR_V1_LEGAL_ENTITY;V1_2_6
GR_V1_LEGAL_ENTITY;V1_3_1
GR_V1_LEGAL_ENTITY;V1_3_2
GR_V1_LEGAL_ENTITY;V1_3_3
GR_V1_LEGAL_ENTITY;V1_3_4
GR_V1_LEGAL_ENTITY;V1_3_5
GR_V1_LEGAL_ENTITY;V1_4_1
GR_V1_LEGAL_ENTITY;V1_5_1
GR_V1_LEGAL_ENTITY;V1_5_2
GR_V1_LEGAL_ENTITY;V1_5_3
GR_V1_LEGAL_ENTITY;V1_5_4
GR_V1_LEGAL_ENTITY;V1_6_1
GR_V1_LEGAL_ENTITY;V1_6_2
GR_V1_LEGAL_ENTITY;V1_6_3
GR_V1_LEGAL_ENTITY;V1_6_4
GR_V1_LEGAL_ENTITY;V1_7_1
GR_V1_LEGAL_ENTITY;V1_7_2
GR_V1_LEGAL_ENTITY;V1_7_3
GR_V1_LEGAL_ENTITY;V1_7_4
GR_V1_LEGAL_ENTITY;V1_8_1
GR_V1_LEGAL_ENTITY;V1_8_2
GR_V1_LEGAL_ENTITY;V1_8_3
GR_V1_LEGAL_ENTITY;V1_8_4
GR_V1_LEGAL_ENTITY;V1_9_1
GR_V1_LEGAL_ENTITY;V1_9_2
GR_V1_LEGAL_ENTITY;V1_9_3
GR_V1_LEGAL_ENTITY;V1_9_4
GR_V1_LEGAL_ENTITY;V1_10_1
GR_V1_LEGAL_ENTITY;V1_10_2
GR_V1_LEGAL_ENTITY;V1_10_3
GR_V1_LEGAL_ENTITY;V1_10_4
GR_V1_LEGAL_ENTITY;V1_11_1
GR_V1_LEGAL_ENTITY;V1_11_2
GR_V1_LEGAL_ENTITY;V1_11_3
GR_V1_LEGAL_ENTITY;V1_11_4
GR_V1_LEGAL_ENTITY;V1_12_1
GR_V1_LEGAL_ENTITY;V1_12_2
GR_V1_LEGAL_ENTITY;V1_12_3
GR_V1_LEGAL_ENTITY;V1_12_4
GR_V1_LEGAL_ENTITY;V1_13_1
GR_V1_LEGAL_ENTITY;V1_13_2
GR_V1_LEGAL_ENTITY;V1_14_1
GR_V1_LEGAL_ENTITY;V1_14_2
