code;category_code;full_name_ukr;full_name_eng;privilege_type
V1_1_1;V1_1;Змінити;Edit;LEGAL_ENTITY
V1_1_2;V1_1;Надіслати листа для підтвердження адреси електронної пошти;Send a message for email address confirmation;LEGAL_ENTITY
V1_2_1;V1_2;Переглянути список;View list;LEGAL_ENTITY
V1_2_2;V1_2;Створити;Create;LEGAL_ENTITY
V1_2_3;V1_2;Змінити;Edit;LEGAL_ENTITY
V1_2_4;V1_2;Видалити;Delete;LEGAL_ENTITY
V1_2_5;V1_2;Переглянути;View;LEGAL_ENTITY
V1_2_6;V1_2;Змінити список учасників;Edit participant list;LEGAL_ENTITY
V1_3_1;V1_3;Переглянути список;View list;LEGAL_ENTITY
V1_3_2;V1_3;Переглянути;View;LEGAL_ENTITY
V1_3_3;V1_3;Змінити;Edit;LEGAL_ENTITY
V1_3_4;V1_3;Видалити;Delete;LEGAL_ENTITY
V1_3_5;V1_3;Додати;Add;LEGAL_ENTITY
V1_4_1;V1_4;Створити заяву на повернення коштів;;LEGAL_ENTITY
V1_5_1;V1_5;Переглянути;;LEGAL_ENTITY
V1_5_2;V1_5;Створити та редагувати;;LEGAL_ENTITY
V1_5_3;V1_5;Видалити;;LEGAL_ENTITY
V1_5_4;V1_5;Підписати;;LEGAL_ENTITY
V1_6_1;V1_6;Переглянути;;LEGAL_ENTITY
V1_6_2;V1_6;Створити та редагувати;;LEGAL_ENTITY
V1_6_3;V1_6;Видалити;;LEGAL_ENTITY
V1_6_4;V1_6;Підписати;;LEGAL_ENTITY
V1_7_1;V1_7;Переглянути;;LEGAL_ENTITY
V1_7_2;V1_7;Створити та редагувати;;LEGAL_ENTITY
V1_7_3;V1_7;Видалити;;LEGAL_ENTITY
V1_7_4;V1_7;Підписати;;LEGAL_ENTITY
V1_8_1;V1_8;Переглянути;;LEGAL_ENTITY
V1_8_2;V1_8;Створити та редагувати;;LEGAL_ENTITY
V1_8_3;V1_8;Видалити;;LEGAL_ENTITY
V1_8_4;V1_8;Підписати;;LEGAL_ENTITY
V1_9_1;V1_9;Переглянути;;LEGAL_ENTITY
V1_9_2;V1_9;Створити та редагувати;;LEGAL_ENTITY
V1_9_3;V1_9;Видалити;;LEGAL_ENTITY
V1_9_4;V1_9;Підписати;;LEGAL_ENTITY
V1_10_1;V1_10;Переглянути;;LEGAL_ENTITY
V1_10_2;V1_10;Створити та редагувати;;LEGAL_ENTITY
V1_10_3;V1_10;Видалити;;LEGAL_ENTITY
V1_10_4;V1_10;Підписати;;LEGAL_ENTITY
V1_11_1;V1_11;Переглянути;;LEGAL_ENTITY
V1_11_2;V1_11;Створити та редагувати;;LEGAL_ENTITY
V1_11_3;V1_11;Видалити;;LEGAL_ENTITY
V1_11_4;V1_11;Підписати;;LEGAL_ENTITY
V1_12_1;V1_12;Переглянути;;LEGAL_ENTITY
V1_12_2;V1_12;Створити та редагувати;;LEGAL_ENTITY
V1_12_3;V1_12;Видалити;;LEGAL_ENTITY
V1_12_4;V1_12;Підписати;;LEGAL_ENTITY
V1_13_1;V1_13;Створити заяву на повернення коштів з МБ;;LEGAL_ENTITY
V1_13_2;V1_13;Підписати заяву на повернення коштів з МБ;;LEGAL_ENTITY
V1_14_1;V1_14;Переглянути;;LEGAL_ENTITY
V1_14_2;V1_14;Створити та редагувати;;LEGAL_ENTITY
V1_14_3;V1_14;Видалити;;LEGAL_ENTITY
V1_14_4;V1_14;Підписати;;LEGAL_ENTITY
V1_15_1;V1_15;Переглянути;;LEGAL_ENTITY
V1_15_2;V1_15;Створити та редагувати;;LEGAL_ENTITY
V1_15_3;V1_15;Видалити;;LEGAL_ENTITY
V1_15_4;V1_15;Підписати;;LEGAL_ENTITY
V1_15_5;V1_15;Відкликати;;LEGAL_ENTITY
